system:index,date,mean,.geo
LC08_192023_20160217,1.45570297688E12,0.7294140160083771,
LC08_192023_20160421,1.4612325548E12,0.6416947245597839,
LC08_192023_20160523,1.46399735939E12,0.8338724672794342,
LC08_192023_20160608,1.46537976368E12,0.7878689467906952,
LC08_192023_20160624,1.46676216946E12,0.8702132999897003,
LC08_192023_20160827,1.47229179196E12,0.8234528303146362,
LC08_192023_20160912,1.47367419612E12,0.8353412747383118,
LC08_193023_20170602,1.4963977302E12,0.8276391923427582,
LC08_192023_20170830,1.50408698859E12,0.8547386229038239,
LC08_193023_20180301,1.5198985355E12,0.5459360033273697,
LC08_193023_20180418,1.52404571023E12,0.571491003036499,
LC08_193023_20180504,1.52542810157E12,0.8216309547424316,
LC08_192023_20180513,1.526205324843E12,0.8542490005493164,
LC08_193023_20180520,1.52681049041E12,0.7145811021327972,
LC08_192023_20180529,1.5275877121E12,0.8757299482822418,
LC08_192023_20180716,1.53173493309E12,0.8735517263412476,
LC08_193023_20181011,1.53925214226E12,0.8314658105373383,
LC08_193023_20181128,1.54339934875E12,0.7797017991542816,
